"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rnd-6_family-590#Unknown",7479.56758750735,2.08442458053074,0.229362623151185,142.451790747357,1.11886561971942e-30,6.06425165887927e-29
"rnd-1_family-585#Unknown",84.7680155305022,-3.15074770719904,0.625286164261454,137.732739487761,1.1649138569982e-29,6.07099337012524e-28
"rnd-6_family-216#LINE/CR1-Zenon",2244.08236410531,2.82852606044123,0.269749542758285,135.10913343538,4.28436351561319e-29,2.15011576431699e-27
"rnd-1_family-355#LINE/CR1-Zenon",2830.6188567618,2.87533931133813,0.289133199712993,132.761611768617,1.37370561420057e-28,6.6477539544349e-27
"rnd-1_family-823#LTR/Gypsy",4103.76265326868,3.08147619390976,0.342171925343181,130.648883658872,3.91953979998987e-28,1.83137118240906e-26
"rnd-1_family-923#Unknown",839.737574627483,-5.56500534000244,0.440388496047528,129.497077822202,6.94148799718871e-28,3.05850494374151e-26
"rnd-5_family-743#LINE/CR1",237.799453307242,3.38199434682107,0.36455005759272,129.480933602509,6.99731758346765e-28,3.05850494374151e-26
"rnd-1_family-763#Unknown",140.146058756157,-6.51067304356103,0.618869876647086,128.431807153915,1.17762405107196e-27,4.98650184125781e-26
"rnd-1_family-521#LTR/Gypsy",131.18178997018,-3.68432713607041,0.4172037067605,126.158348599522,3.63800396479174e-27,1.49378647645237e-25
"rnd-1_family-760#LTR/Gypsy",21685.1112006754,3.25851457653644,0.376855071936462,124.704245397343,7.48409859264153e-27,2.98263340971449e-25
"rnd-5_family-2505#LINE/Penelope",129.310958536368,-1.22857428684158,0.485470423228473,124.554961788064,8.05934965202381e-27,3.12011965099779e-25
"rnd-5_family-2037#Unknown",320.591807004472,-2.94270720466476,0.455027621476323,121.145628421167,4.37216455660773e-26,1.64563415950096e-24
"rnd-5_family-96#Unknown",118.213178350814,-3.45763267111185,0.406265345394341,119.662590390721,9.1222674848705e-26,3.34072228162149e-24
"rnd-6_family-318#LTR/Gypsy",353.004605481193,-2.22291044602888,0.361273458846101,116.609693231257,4.14487857654805e-25,1.47797643979542e-23
"rnd-1_family-319#LINE/CR1",1368.10947012322,-3.83605387156537,0.347470113561438,114.823754100336,1.00468192914257e-24,3.49062567689278e-23
"rnd-5_family-188#Unknown",270.707045827834,-4.57349640876299,0.455517397985554,113.112815095316,2.34611917278995e-24,7.94747869782596e-23
"rnd-1_family-613#LINE/CR1",466.716379722891,-2.70030953609699,0.351540582234533,111.302828093129,5.75362794795643e-24,1.90150387060511e-22
"rnd-6_family-2447#Unknown",232.826572487528,2.90059372889014,0.334837277045919,110.987573165757,6.72656566269043e-24,2.17011820784418e-22
"rnd-1_family-40#Unknown",1455.99650410742,-2.22530913839495,0.308611121992695,110.543751394947,8.3813365751358e-24,2.64109559518814e-22
"rnd-1_family-47#Unknown",1507.32607929525,0.209357897935139,0.332563065445241,109.101825366654,1.7124701372949e-23,5.27362962735134e-22
"rnd-5_family-1025#LTR/Gypsy",1241.94009747884,-1.24809402498268,0.342807346590572,106.246635685589,7.04636699544641e-23,2.12173939529553e-21
